Tweet,Student,"Sentiment (positive, negative, or Neutral)"
"AT_USER i loved winter so much, thank you for such an amazing series!! can't wait for stars above!",EXAMPLE,positive
i don't like winter URL,EXAMPLE,negative
registration for winter is this friday,EXAMPLE,neutral
winter wonderland: see top 20 photos from michigan snowstorm URL via AT_USER,Aaron Fogle,neutral
"get $20 off your lyft ride w\\ promo code \""aris938912\"" winter coupon lyft 306",Aaron Fogle,positive
rt AT_USER migratory birds to face starvation in c china's dongting lake due to the worst winter floods in decade: authorities URL,Aaron Fogle,negative
rt AT_USER pnn: 'donate to the medical aid for palestinians this winter!' URL (via AT_USER URL,Aaron Fogle,neutral
"AT_USER a winter storm watch has been issued until thursday evening, ill get more for you when i get home URL",Aaron Fogle,neutral
realty shares rise up to 3% as govt expects passage of real estate bill in winter session URL URL,Aaron Fogle,positive
rt AT_USER i liked a AT_USER video from AT_USER URL new village guard rant! clash of clans new winter update \u2026,Aaron Fogle,positive
glad it's winter so no one has to see my nasty ass bruises,Aaron Fogle,positive
if you actually enjoy the winter we can't be friends ...no normal person f***s wit cold weather \ud83d\ude45\ud83c\udffd,Aaron Fogle,negative
and the winner fpr best rcmp tweet for winter driving goes to: AT_USER well played! AT_USER URL,Aaron Fogle,positive
rt AT_USER [hd pic] 151124 spao hong kong facebook update - donghae and eunhyuk in their winter clothes \ud83d\ude0a URL,Aaron Fogle,neutral
rt AT_USER i need to visit chicago in the winter time \ud83d\ude4f\ud83c\udffc\u2744\ufe0f URL,Aaron Fogle,neutral
if my other half produced anything other than a winter vintage wedding it would be game over! haha \ud83d\ude02 donttellthebride aretheycrazy,Aaron Fogle,positive
rt AT_USER made in the am winter free lockscreens! rt if saving! be honest! -vee\ud83c\udf3b mtvstars one direction URL,Aaron Fogle,positive
"AT_USER i loved winter so much, thank you for such an amazing series!! can't wait for stars above!",Aaron Fogle,positive
rt AT_USER ain't no way her bare legs are that smooth &amp; shiny in cold ass weather URL,Aaron Fogle,negative
rt AT_USER AT_USER -winter is coming .URL,Aaron Fogle,neutral
columbia interchange 3 in 1 winter jacket coat women's large waterproof euc at tactical gear zone -&gt; URL columbia h\u2026,Aaron Fogle,neutral
merona outerwear 22% off retail! risdarling fashion tradesy goals minimalist treatyoself winter christmas URL,Aaron Fogle,positive
rt AT_USER winter is coming...almost time for a new AT_USER x AT_USER tape,Aaron Fogle,neutral
"rt rottorealtor 5 winter home improvement projects for less than $1,000 realtormag URL realestate realtor homes",Aaron Fogle,neutral
i'm so over winter now \ud83d\ude44\ud83d\ude34\ud83d\ude14,Aaron Fogle,negative
special offer this winter! show this voucher at admissions for \u00a34.50 entry per person until 31st january 2015. we...,Aaron Fogle,positive
"AT_USER great job winter! keep up the good work, you wntrdirty streamer. kappa",Aaron Fogle,positive
would you like to live in this winter wonderland? URL,Aaron Fogle,neutral
"rt AT_USER women's deodorant scents: rose, cotton, spring, meadow men's: winter ice, sharknado, glacier punch, antifreeze, gun",Aaron Fogle,neutral
rt AT_USER f*** the winter ball,Aaron Fogle,negative
rt AT_USER the intermittent appearance of seasonally inappropriate spring foliage in jessica jones is v. distracting (majority was filmed i\u2026,Aaron Fogle,negative
candles &amp; snug clothes URL,Aaron Fogle,positive
markcurrygc : rt groundcontrolgc: winter is looming... we're so nearly in business with o\u2026 URL URL,Aaron Fogle,positive
"\ud83c\udfb6 \""and i remember the sound of your november downtown and i remember the truth a warm december with you\"" \ud83c\udfb6\ud83d\ude2d\ud83d\udd25 joshua radin - \""winter",Aaron Fogle,positive
"rt AT_USER queenscourt hospice winter ball sees generous guests raise \u00a312,000 URL URL",Aaron Fogle,positive
have you heard \u2018winter season (original mix)\u2019 by AT_USER on soundcloud? np URL,Aaron Fogle,neutral
the secret to avoiding the winter blues URL,Aaron Fogle,positive
"looking for a winter term class? ali has tons of great classes, everything from hiking and yoga to bouldering! ali URL",Aaron Fogle,positive
rt AT_USER welcome winter with this delicious dish originating from kashmir. for recipe visit: URL URL,Aaron Fogle,positive
there's a focus on a few stunning customer knits on the blog today! URL winter alpaca knit URL,Aaron Fogle,positive
"\ud83d\udcf7 winter is coming\u2026 no, it\u2019s here! getting chilly on this island. getting frosty. very exciting for this... URL",Aaron Fogle,positive
rt AT_USER winter evening\u2728\u2728\u2728 URL,Aaron Fogle,neutral
apt. 9 top 59% off retail! risdarling fashion tradesy goals minimalist treatyoself winter christmas URL,Aaron Fogle,positive
